image_path,latex
Images_Matrices_Train_2014/7_em_43.png,$\begin{vmatrix}2  &1  &0  &0  \\1  &3  &2  &0  \\0  &-1 &-2 &1  \\0  &0  &-2 &1\end{vmatrix}$
Images_Matrices_Train_2014/103_em_72.png,$N_0=\begin{pmatrix}0  &0  \\1  &0\end{pmatrix}$
Images_Matrices_Train_2014/15_gt_2.png,$ A \begin {pmatrix} 1 & 3 \\ 2 & 4 \end {pmatrix} = \begin {pmatrix} 1 & 0 \\ 0 & 1 \end {pmatrix} $
Images_Matrices_Train_2014/6_em_3.png,$\begin{pmatrix}2  &1  &1    &3  \\0  &1  &-2   &-7 \\0  &0  &19   &70\end{pmatrix}$
Images_Matrices_Train_2014/40_gt_2.png,$ \begin {pmatrix} 0 & 1 & 0 \\ 0 & 0 & 1 \\ 4 & - 17 & 8 \end {pmatrix} $
Images_Matrices_Train_2014/20_gt_1.png,$ \begin {bmatrix} - 2 + 0 & - 4 + 0 \\ 3 + 6 & G + (- 2) \end {bmatrix} $
Images_Matrices_Train_2014/6_em_10.png,"$ \left[ \begin{matrix}a_{1,1} p_1 + a_{1,2} p_2 + a_{1,3} p_3 + t_1 \\a_{2,1} p_1 + a_{2,2} p_2 + a_{2,3} p_3 + t_2 \\a_{3,1} p_1 + a_{3,2} p_2 + a_{3,3} p_3 + t_3 \\1 \end{matrix} \right]$"
Images_Matrices_Train_2014/11_em_92.png,$\begin{pmatrix}-1  &0  &0  &0  &0  \\0  &-1 &0  &0  &0  \\0  &0  &3  &0  &0  \\0  &0  &1  &3  &0  \\0  &0  &0  &0  &3\end{pmatrix}$
Images_Matrices_Train_2014/102_em_40.png,$ \begin{pmatrix}2  &1  \\0  &3\end{pmatrix}+\begin{pmatrix}2  &1  \\0  &3\end{pmatrix} $
Images_Matrices_Train_2014/10_em_60.png,$(T-1I)(T-2I)^2=\begin{pmatrix}0  &0  &0  &0  \\1  &0  &0  &1  \\0  &0  &0  &0  \\0  &0  &0  &0\end{pmatrix}\begin{pmatrix}0  &0  &0  &1  \\1  &0  &0  &2  \\0  &0  &0  &-1 \\0  &0  &0  &-1\end{pmatrix}=\begin{pmatrix}0  &0  &0  &0  \\0  &0  &0  &0  \\0  &0  &0  &0  \\0  &0  &0  &0\end{pmatrix}$
Images_Matrices_Train_2014/11_em_76.png,"$\begin{pmatrix}1  &0  &2  \\3  &-1 &1  \\5  &-1 &5\end{pmatrix},\begin{pmatrix}1  &0  &2  \\0  &2  &10 \\2  &0  &4\end{pmatrix} $"
Images_Matrices_Train_2014/103_em_56.png,$\begin{pmatrix}5   &-4 \\9   &-7\end{pmatrix} $
Images_Matrices_Train_2014/104_em_83.png,$ \begin{pmatrix}2  &1  \\1  &1\end{pmatrix} $
Images_Matrices_Train_2014/102_em_38.png,$\begin{pmatrix}1  &1  &4  \\3  &0  &-1 \\5  &2  &7\end{pmatrix}$
Images_Matrices_Train_2014/11_em_89.png,$\begin{bmatrix}1 & 1 & 1 \\\alpha_1^2 & \alpha_2^2 & \alpha_3^2 \\\alpha_1^3 & \alpha_2^3 & \alpha_3^3 \\\end{bmatrix}$
Images_Matrices_Train_2014/104_em_81.png,$\begin{pmatrix}1  &0  &4  \\2  &1  &5\end{pmatrix}  $
Images_Matrices_Train_2014/101_em_19.png,$ \begin{pmatrix}2  &0  \\-1  &3\end{pmatrix} $
Images_Matrices_Train_2014/103_em_54.png,$\begin{pmatrix}0  &0  &0  &0  \\1  &0  &0  &0  \\0  &0  &0  &0  \\0  &0  &1  &0\end{pmatrix}$
Images_Matrices_Train_2014/103_em_69.png,$\begin{pmatrix}1  &-2 \\0  &-2 \\1  &-1 \\4  &3\end{pmatrix}\begin{pmatrix}1  &0  \\0  &1  \\\end{pmatrix}=\begin{pmatrix}1  &-2 \\0  &-2 \\1  &-1 \\4  &3\end{pmatrix}$
Images_Matrices_Train_2014/45_gt_4.png,$ \begin {pmatrix} 3 & 0 \\ 8 & - 1 \end {pmatrix} $
Images_Matrices_Train_2014/102_em_42.png,$\begin{pmatrix}1\\2\end{pmatrix}\begin{pmatrix}1&2\end{pmatrix}$
Images_Matrices_Train_2014/101_em_24.png,$C =\begin{pmatrix}1&2\\4&5\\\end{pmatrix}\begin{pmatrix}1&0\\0&1\\\end{pmatrix}=\begin{pmatrix}1&2\\4&5\\\end{pmatrix}$
Images_Matrices_Train_2014/10_em_62.png,$\begin{vmatrix}\alpha - E &  \beta  & 0 & 0  \\\beta & \alpha -E & \beta  &  0  \\0 & \beta & \alpha -E & \beta    \\0 & 0 & \beta & \alpha -E    \\\end{vmatrix}= 0$
Images_Matrices_Train_2014/10_gt_4.png,$ \begin {pmatrix} 1 & 5 \\ 0 & 4 \end {pmatrix} $
Images_Matrices_Train_2014/104_em_98.png,$ \begin{pmatrix}2  &-3 \\1  &1\end{pmatrix}  $
Images_Matrices_Train_2014/15_gt_0.png,$ \begin {pmatrix} 1 / \sqrt {3} & - 1 / \sqrt {3} \\ - 1 / \sqrt {3} & - 1 / \sqrt {3} \end {pmatrix} $
Images_Matrices_Train_2014/6_em_12.png,$\begin{pmatrix}5  &4  \\0  &1\end{pmatrix}$
Images_Matrices_Train_2014/11_em_90.png,$\begin{pmatrix}0  &0  &0  \\0  &0  &0  \\0  &0  &0\end{pmatrix}  $
Images_Matrices_Train_2014/20_gt_3.png,$ \begin {pmatrix} 2 & 2 & 1 \\ 0 & 5 & - 1 \end {pmatrix} $
Images_Matrices_Train_2014/7_em_39.png,$\begin{pmatrix}1/\sqrt{3} &-\sqrt{2}/\sqrt{3}  \\-\sqrt{2}/\sqrt{3} &-1/\sqrt{3}\end{pmatrix}$
Images_Matrices_Train_2014/6_em_1.png,$ \begin{pmatrix}1  &0  &0  &0  \\0  &1  &0  &0  \\0  &0  &1  &0\end{pmatrix} $
Images_Matrices_Train_2014/40_gt_0.png,$ \begin {pmatrix} 0 & 1 & 0 & 2 \\ 1 & 1 & 0 & 4 \\ 3 & 3 & 3 & - 1 \end {pmatrix} $
Images_Matrices_Train_2014/7_em_41.png,$I=\begin{pmatrix}1  &0  \\0  &1\end{pmatrix}$
Images_Matrices_Train_2014/103_em_70.png,$ \begin{vmatrix}2  &-1  \\-1 &-1\end{vmatrix}  $
Images_Matrices_Train_2014/6_em_5.png,$ \begin{pmatrix}2  &1  \\3  &1\end{pmatrix}  $
Images_Matrices_Train_2014/40_gt_4.png,$ \begin {pmatrix} 3 & 0 & 0 \\ 1 & 3 & 0 \\ 0 & 1 & 3 \end {pmatrix} $
Images_Matrices_Train_2014/6_em_16.png,"$\begin{pmatrix}1  &1  &1  \\-1  &2  &2\end{pmatrix},\begin{pmatrix}0  &3  &-1 \\2  &2  &5\end{pmatrix} $"
Images_Matrices_Train_2014/11_em_94.png,$ \begin{pmatrix}4  &0  \\0  &5\end{pmatrix} $
Images_Matrices_Train_2014/15_gt_4.png,$ \begin {pmatrix} 1 & 1 \\ 2 & 4 \end {pmatrix} $
Images_Matrices_Train_2014/102_em_27.png,$ \begin{pmatrix}-1 &4  &0  &0  &0  \\0 &3  &0  &0  &0  \\0 &-4 &-1 &0  &0  \\3 &-9 &-4 &2  &-1 \\1 &5  &4  &1  &4\end{pmatrix} $
Images_Matrices_Train_2014/103_em_74.png,$\begin{pmatrix}1  &3  &0  \\0  &1  &0  \\1  &0  &1\end{pmatrix}$
Images_Matrices_Train_2014/7_em_45.png,$ A = \begin{pmatrix}3&5\\5&3\end{pmatrix}$
Images_Matrices_Train_2014/104_em_78.png,$A = \begin{bmatrix}-\frac{1}{t_1} & -\frac{1}{t_1} & 0 & 0\\\frac{1}{t_2} & 0 & -\frac{1}{t_2} & 0\\0 & \frac{1}{t_3} & 0 & -\frac{1}{t_3}\\0 & 0 & \frac{1}{t_4} & -\frac{1}{t_4}\end{bmatrix}$
Images_Matrices_Train_2014/103_em_50.png,$\begin{pmatrix}0  &0  &0  \\1  &0  &0  \\0  &1  &0\end{pmatrix}$
Images_Matrices_Train_2014/104_em_85.png,$\begin{pmatrix}5   &4    &3  \\-1   &0    &-3 \\1   &-2   &1\end{pmatrix} $
Images_Matrices_Train_2014/101_em_8.png,$\begin{pmatrix}-1  &0  \\0  &-1\end{pmatrix}$
Images_Matrices_Train_2014/10_em_66.png,$\begin{pmatrix}2  &-7 \\7  &4\end{pmatrix}\begin{pmatrix}1  &0  &5   \\-1  &1  &1   \\3  &8  &4\end{pmatrix}   $
Images_Matrices_Train_2014/10_gt_0.png,$ \begin {pmatrix} 1 & 0 \\ 0 & 1 \end {pmatrix} $
Images_Matrices_Train_2014/45_gt_0.png,$ \begin {pmatrix} 3 & 64 \\ 1 & 32 \end {pmatrix} \begin {pmatrix} 1 & - 2 \\ - 1 & 3 \end {pmatrix} $
Images_Matrices_Train_2014/102_em_46.png,$\begin{pmatrix}1&1\\0&1\\\end{pmatrix}\begin{pmatrix}1&1\\0&1\\\end{pmatrix}\begin{pmatrix}1&1\\0&1\\\end{pmatrix}\begin{pmatrix}1\\1\\\end{pmatrix}$
Images_Matrices_Train_2014/101_em_20.png,$\begin{pmatrix}2    &1   &0  \\3    &-2  &0 \\1    &0   &0\end{pmatrix}    $
Images_Matrices_Train_2014/25_gt_3.png,$ \begin {pmatrix} 3 & 4 \\ 1 & 2 \end {pmatrix} \begin {pmatrix} 1 & - 2 \\ - 1 & 3 \end {pmatrix} $
Images_Matrices_Train_2014/10_gt_2.png,$ \begin {pmatrix} 0 & 0 \\ 0 & 0 \end {pmatrix} $
Images_Matrices_Train_2014/10_em_64.png,$\begin{pmatrix}1  &0  &1 &0 \\0  &2  &1 &0 \\1  &1  &1 &0 \\0  &0  &0 &1\end{pmatrix}^{-1}$
Images_Matrices_Train_2014/25_gt_1.png,$ \begin {pmatrix} - 1 & 0 & 0 & 0 \\ 0 & 2 & 0 & 0 \\ 0 & 1 & 2 & 0 \\ 0 & 0 & 0 & 2 \end {pmatrix} $
Images_Matrices_Train_2014/101_em_22.png,$A =\begin{pmatrix}-4&15\\-2&7\end{pmatrix}$
Images_Matrices_Train_2014/45_gt_2.png,$ \begin {pmatrix} 0 \\ 1 \\ 0 \end {pmatrix} = \begin {pmatrix} sin (\theta) \\ cos (\theta) \\ 0 \end {pmatrix} $
Images_Matrices_Train_2014/102_em_44.png,$\begin{vmatrix}2  &1  \\3  &1\end{vmatrix}=\begin{vmatrix}2  &0  \\0  &1\end{vmatrix} +\begin{vmatrix}0  &1  \\3  &0\end{vmatrix}             =(2)(1)\begin{vmatrix}1  &0  \\0  &1\end{vmatrix} +(1)(3)\begin{vmatrix}0  &1  \\1  &0\end{vmatrix}             =-1$
Images_Matrices_Train_2014/104_em_87.png,$\begin{pmatrix}x\\y\end{pmatrix}= \begin{pmatrix}t\\t\end{pmatrix}$
Images_Matrices_Train_2014/103_em_52.png,$ \begin{pmatrix}2  &0  &1  \\0  &6  &2  \\0  &0  &2\end{pmatrix} $
Images_Matrices_Train_2014/10_em_59.png,$ \begin{pmatrix}2  &1  &1  \\0  &5  &-2 \\1  &-3 &4\end{pmatrix} $
Images_Matrices_Train_2014/7_em_26.png,$ \begin{vmatrix}3  &1  &2  \\3  &1  &0  \\0  &1  &4\end{vmatrix} $
Images_Matrices_Train_2014/7_em_47.png,$\begin{pmatrix}5  &0  &0  &0  \\0  &2  &0  &0  \\0  &1  &2  &0  \\0  &0  &0  &3\end{pmatrix}$
Images_Matrices_Train_2014/6_em_14.png,$\begin{pmatrix}1+2&2+9&3+8\\4+0&5+(-1)&6+8\\7+4&8+6&9+7\\\end{pmatrix}=\begin{pmatrix}3&11&11\\4&4&14\\11&14&16\\\end{pmatrix}$
Images_Matrices_Train_2014/11_em_96.png,$\begin{pmatrix}0  &-1 \\-5  &1\end{pmatrix}$
Images_Matrices_Train_2014/6_em_7.png,$\begin{pmatrix}1  &1  \\1  &-1\end{pmatrix}^{-1}\begin{pmatrix}0  &1  \\1  &0\end{pmatrix}\begin{pmatrix}1   &1  \\-1  &1\end{pmatrix}=\begin{pmatrix}-1  &0  \\0   &1\end{pmatrix}$
Images_Matrices_Train_2014/102_em_25.png,$ \begin{pmatrix}2  &3  &4  \\5  &6  &7  \\8  &9  &1\end{pmatrix} $
Images_Matrices_Train_2014/10_em_63.png,$T-xI=\begin{pmatrix}3-x  &0    &0   \\1    &3-x  &0   \\0    &0    &4-x\end{pmatrix}$
Images_Matrices_Train_2014/103_em_68.png,$ \begin{pmatrix}0  &3  \\7 &0\end{pmatrix} $
Images_Matrices_Train_2014/102_em_43.png,$x = \begin{pmatrix}3\\1\end{pmatrix}$
